GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Velcro,velcro.Model,IteratorList,61,0,4,0,15,0,9,0,7,0
Velcro,velcro.Model,ZLine,38,0,0,0,8,0,3,0,3,0
Velcro,velcro.Model,Fields,0,42,1,5,0,11,1,7,0,5
Velcro,velcro.Model,Relationships,0,45,0,4,0,13,0,9,0,7
Velcro,velcro.Model,Memento.NullInstance,2,0,0,0,1,0,1,0,1,0
Velcro,velcro.Model,ZRectangle,45,0,0,0,12,0,6,0,6,0
Velcro,velcro.Model,Observer,25,0,0,0,10,0,3,0,3,0
Velcro,velcro.Model,Instance,1424,0,112,0,202,0,71,0,15,0
Velcro,velcro.Model,IteratorList.Iterator,40,0,2,0,13,0,6,0,5,0
Velcro,velcro.Model,Memento,822,0,38,0,69,0,26,0,7,0
Velcro,velcro.Model,Parameters,16,26,4,2,1,10,3,5,1,4
Velcro,velcro.Model,ArrowHead,23,0,0,0,6,0,1,0,1,0
Velcro,velcro.Model,Methods,0,146,2,18,0,32,2,18,0,10
Velcro,velcro.Model,Classes,165,360,36,48,27,68,30,29,4,13
Velcro,velcro.Model,MovingAdapter,519,0,54,0,104,0,33,0,6,0
Velcro,velcro.Model,Memento.NullInstance.NullInstanceHolder,6,0,0,0,1,0,1,0,1,0
Velcro,velcro.Model,ZEllipse,156,0,16,0,34,0,16,0,8,0
Velcro,velcro.Controller,GUIController,366,0,38,0,56,0,24,0,5,0
Velcro,velcro.Controller,MenuController.7.new FocusListener() {...},15,0,0,0,4,0,3,0,3,0
Velcro,velcro.Controller,MenuController.new ActionListener() {...},38,0,4,0,10,0,4,0,2,0
Velcro,velcro.Controller,MenuController.new ActionListener() {...},159,0,12,0,36,0,8,0,2,0
Velcro,velcro.Controller,MenuController.new ActionListener() {...},34,0,4,0,8,0,4,0,2,0
Velcro,velcro.Controller,MenuController.new ActionListener() {...},32,0,4,0,12,0,4,0,2,0
Velcro,velcro.Controller,MenuController.new ActionListener() {...},56,0,8,0,12,0,6,0,2,0
Velcro,velcro.Controller,MenuController.new ActionListener() {...},43,0,8,0,13,0,6,0,2,0
Velcro,velcro.Controller,MenuController.new ActionListener() {...},46,0,6,0,10,0,5,0,2,0
Velcro,velcro.Controller,MenuController.new ActionListener() {...},131,0,12,0,19,0,8,0,2,0
Velcro,velcro.Controller,MenuController.new ActionListener() {...},121,0,12,0,17,0,8,0,2,0
Velcro,velcro.Controller,MenuController.new ActionListener() {...},136,0,14,0,22,0,9,0,2,0
Velcro,velcro.Controller,MenuController.new ActionListener() {...},9,0,0,0,3,0,2,0,2,0
Velcro,velcro.Controller,MenuController.new ActionListener() {...},6,0,0,0,3,0,2,0,2,0
Velcro,velcro.Controller,MenuController.new ActionListener() {...},24,0,2,0,8,0,3,0,2,0
Velcro,velcro.Controller,MenuController.new ActionListener() {...},21,0,2,0,8,0,3,0,2,0
Velcro,velcro.Controller,MenuController.new ActionListener() {...},112,0,8,0,29,0,6,0,2,0
Velcro,velcro.Controller,MenuController.new ActionListener() {...},99,0,6,0,25,0,5,0,2,0
Velcro,velcro.Controller,MenuController.new ActionListener() {...},6,0,0,0,3,0,2,0,2,0
Velcro,velcro.Controller,MenuController.new ActionListener() {...},13,0,2,0,5,0,3,0,2,0
Velcro,velcro.Controller,MenuController.new ActionListener() {...},5,0,0,0,3,0,2,0,2,0
Velcro,velcro.Controller,MenuController.new ActionListener() {...},7,0,0,0,3,0,2,0,2,0
Velcro,velcro.Controller,MenuController.8.new FocusListener() {...},15,0,0,0,4,0,3,0,3,0
Velcro,velcro.Controller,MenuController.new ActionListener() {...},44,0,8,0,14,0,6,0,2,0
Velcro,velcro.Controller,MenuController.6.new FocusListener() {...},15,0,0,0,4,0,3,0,3,0
Velcro,velcro.Controller,MenuController.new ActionListener() {...},60,0,12,0,18,0,8,0,2,0
Velcro,velcro.Controller,MenuController,670,0,38,0,110,0,50,0,31,0
Velcro,velcro.main,DrawingGUI.new Runnable() {...},33,0,0,0,10,0,2,0,2,0
Velcro,velcro.main,DrawingGUI,81,0,0,0,24,0,6,0,6,0
Velcro,velcro.main,cli,2372,0,116,0,617,0,86,0,8,0
Velcro,velcro.View,GUIFrame,249,0,6,0,60,0,15,0,12,0
Velcro,velcro.View,MenuFrame,1349,0,4,0,215,0,7,0,5,0
